"","Sample_names","Sample","Type","Stain","Dilution","Tank","Day","Timepoint","Feeding_status","Time_cont","Counts","BacterialDensity","AlgalDensity","PercentageHNA","HNADensity"
"576","C09 Artemia.D6.3_FIXED_SG_10.fcs","Artemia.D6.3","FIXED","SG",10,"Artemia","D6","3","Artemia",6.33333333333333,14412,2871602.77357137,597.752450785048,73.6816541770747,2115844.42496214
"577","C09 T1.D1.8.B_FIXED_SG_10.fcs","T1.D1.8.B","FIXED","SG",10,"T1","D1","8","B",1.95833333333333,18475,3681598.97971384,24710.05539835,90.9769959404601,3349408.15431828
"578","C09 T1.D12.4.B_FIXED_SG_10.fcs","T1.D12.4.B","FIXED","SG",10,"T1","D12","4","B",12.4583333333333,48329,16048681.6762967,1660.35730889287,94.0429141923069,15092647.9378362
"579","C09 T1.D16.8.B_FIXED_SG_10.fcs","T1.D16.8.B","FIXED","SG",10,"T1","D16","8","B",16.9583333333333,19083,6342395.63945759,332.358415315076,47.7388251323167,3027785.16352034
"580","C09 T2.D4.3.A_FIXED_SG_10.fcs","T2.D4.3.A","FIXED","SG",10,"T2","D4","3","A",4.33333333333333,20596,6828459.65121676,13261.7200450898,76.6653719168771,5235063.98779922
"581","C09 T2.D5.1.B_FIXED_SG_10.fcs","T2.D5.1.B","FIXED","SG",10,"T2","D5","1","B",5.08333333333333,32042,10623300.8421192,16577.1500563623,66.3098433306286,7044294.1449506
"582","C09 T2.D9.6.B_FIXED_SG_10.fcs","T2.D9.6.B","FIXED","SG",10,"T2","D9","6","B",9.70833333333333,41178,13699970.0568919,9981.03603154007,67.1912186118801,9205176.83068836
"583","C09 T3.D13.2.B_FIXED_SG_10.fcs","T3.D13.2.B","FIXED","SG",10,"T3","D13","2","B",13.2083333333333,201120,66839481.555334,0,53.6898369132856,35886008.6407444
"584","C09 T3.D17.7.B_FIXED_SG_10.fcs","T3.D17.7.B","FIXED","SG",10,"T3","D17","7","B",17.8333333333333,217414,72208974.060912,0,40.787161820306,29451991.0990069
"585","C09 T3.D2.4.B_FIXED_SG_10.fcs","T3.D2.4.B","FIXED","SG",10,"T3","D2","4","B",2.45833333333333,6804,2253278.57994436,15233.805802093,81.2169312169312,1830043.71439926
"586","C09 T3.D6.8.B_FIXED_SG_10.fcs","T3.D6.8.B","FIXED","SG",10,"T3","D6","8","B",6.95833333333333,60777,20198404.7856431,24260.5516782984,77.1755762870823,15588235.2941176
"587","C09 T4.D10.5.B_FIXED_SG_10.fcs","T4.D10.5.B","FIXED","SG",10,"T4","D10","5","B",10.5833333333333,116083,38490334.5601645,21884.0147219735,46.149737687689,17763188.4346298
"588","C09 T5.D12.2.B_FIXED_SG_10.fcs","T5.D12.2.B","FIXED","SG",10,"T5","D12","2","B",12.2083333333333,77600,15492114.19445,2595.32840886404,78.8041237113402,12208424.8352965
"589","C09 T5.D14.1.B_FIXED_SG_10.fcs","T5.D14.1.B","FIXED","SG",10,"T5","D14","1","B",14.0833333333333,43634,14497790.4774562,996.777087417351,56.6622358711097,8214772.23643553
"590","C09 T5.D17.3.A_FIXED_SG_10.fcs","T5.D17.3.A","FIXED","SG",10,"T5","D17","3","A",17.3333333333333,72859,24236245.0934735,37256.3369037323,73.1248027011076,17722706.4067594
"591","C09 T5.D3.2.B_FIXED_SG_10.fcs","T5.D3.2.B","FIXED","SG",10,"T5","D3","2","B",3.20833333333333,5264,1754608.17972734,6666.4444518516,50.0949848024316,878970.700976634
"592","C09 T5.D7.7.B_FIXED_SG_10.fcs","T5.D7.7.B","FIXED","SG",10,"T5","D7","7","B",7.83333333333333,46750,15536206.8392543,21601.1431989631,72.2716577540107,11228274.234821
"593","C10 Artemia.D6.4_FIXED_SG_10.fcs","Artemia.D6.4","FIXED","SG",10,"Artemia","D6","4","Artemia",6.45833333333333,2368,472042.260540217,598.026512508721,64.2736486486486,303398.784012758
"594","C10 T1.D1.8.A_FIXED_SG_10.fcs","T1.D1.8.A","FIXED","SG",10,"T1","D1","8","A",1.95833333333333,17674,3521839.63016101,29890.0047824008,89.2780355324205,3144229.23641001
"595","C10 T1.D12.4.A_FIXED_SG_10.fcs","T1.D12.4.A","FIXED","SG",10,"T1","D12","4","A",12.4583333333333,44925,14927728.8586144,1329.12443927563,92.692264885921,13836849.9750789
"596","C10 T1.D16.8.A_FIXED_SG_10.fcs","T1.D16.8.A","FIXED","SG",10,"T1","D16","8","A",16.9583333333333,19475,6474832.10319835,332.468914156526,49.8331193838254,3226610.81188909
"597","C10 T2.D4.3.B_FIXED_SG_10.fcs","T2.D4.3.B","FIXED","SG",10,"T2","D4","3","B",4.33333333333333,20883,6921776.5992708,1988.73052701359,74.2278408274673,5137885.31653961
"598","C10 T2.D5.1.A_FIXED_SG_10.fcs","T2.D5.1.A","FIXED","SG",10,"T2","D5","1","A",5.08333333333333,29612,9805298.01324503,16225.1655629139,64.8622180197217,6359933.77483444
"599","C10 T2.D9.6.A_FIXED_SG_10.fcs","T2.D9.6.A","FIXED","SG",10,"T2","D9","6","A",9.70833333333333,44259,14718656.4682408,21616.2287994679,65.1980388169638,9596275.35749917
"600","C10 T3.D13.2.A_FIXED_SG_10.fcs","T3.D13.2.A","FIXED","SG",10,"T3","D13","2","A",13.2083333333333,183817,60991771.1858783,331.807021036565,56.2537741340572,34310173.203265
"601","C10 T3.D17.7.A_FIXED_SG_10.fcs","T3.D17.7.A","FIXED","SG",10,"T3","D17","7","A",17.8333333333333,239555,79710844.1752903,0,39.7194798689236,31660732.7055535
"602","C10 T3.D2.4.A_FIXED_SG_10.fcs","T3.D2.4.A","FIXED","SG",10,"T3","D2","4","A",2.45833333333333,5316,1760964.62170399,14244.0704915861,81.7531978931527,1439644.89201007
"603","C10 T3.D6.8.A_FIXED_SG_10.fcs","T3.D6.8.A","FIXED","SG",10,"T3","D6","8","A",6.95833333333333,66646,22151095.1573769,21936.3844849935,77.4375056267443,17153255.5588792
"604","C10 T4.D10.5.A_FIXED_SG_10.fcs","T4.D10.5.A","FIXED","SG",10,"T4","D10","5","A",10.5833333333333,113471,37619268.6403872,14918.9404236979,39.1941553348433,14744554.5867453
"605","C10 T5.D13.2.B_FIXED_SG_10.fcs","T5.D13.2.B","FIXED","SG",10,"T5","D13","2","B",13.2083333333333,70382,14023391.5798282,597.740540755943,78.7928731778011,11049433.1427205
"606","C10 T5.D14.1.A_FIXED_SG_10.fcs","T5.D14.1.A","FIXED","SG",10,"T5","D14","1","A",14.0833333333333,41312,13717625.1826272,332.049408952052,51.4741479473277,7061030.68136539
"607","C10 T5.D17.3.B_FIXED_SG_10.fcs","T5.D17.3.B","FIXED","SG",10,"T5","D17","3","B",17.3333333333333,60492,20109035.3035038,25264.2776411143,73.3154797328572,14743035.7024134
"608","C10 T5.D3.2.A_FIXED_SG_10.fcs","T5.D3.2.A","FIXED","SG",10,"T5","D3","2","A",3.20833333333333,5816,1926146.71303196,5298.89054479218,50.515818431912,973008.776287465
"609","C10 T5.D7.7.A_FIXED_SG_10.fcs","T5.D7.7.A","FIXED","SG",10,"T5","D7","7","A",7.83333333333333,45373,15085613.5917811,27263.3573827177,71.1061644590395,10726801.2102271
"610","C11 Artemia.D6.5_FIXED_SG_10.fcs","Artemia.D6.5","FIXED","SG",10,"Artemia","D6","5","Artemia",6.58333333333333,2515,501445.518891437,598.14574818064,69.9801192842942,350912.172265975
"611","C11 T1.D12.5.B_FIXED_SG_10.fcs","T1.D12.5.B","FIXED","SG",10,"T1","D12","5","B",12.5833333333333,58615,19480541.0615175,997.042108411712,93.6279109442975,18239223.6365449
"612","C11 T1.D18.3.A_FIXED_SG_10.fcs","T1.D18.3.A","FIXED","SG",10,"T1","D18","3","A",18.3333333333333,16238,5376287.12379565,9932.78813362911,63.2220716837049,3399000.09932788
"613","C11 T2.D16.1.B_FIXED_SG_10.fcs","T2.D16.1.B","FIXED","SG",10,"T2","D16","1","B",16.0833333333333,105681,35047091.5964714,0,95.8403118819845,33589241.891623
"614","C11 T2.D5.2.B_FIXED_SG_10.fcs","T2.D5.2.B","FIXED","SG",10,"T2","D5","2","B",5.20833333333333,34921,11564393.813955,14239.8251481935,51.5907333696057,5966155.57836871
"615","C11 T2.D9.7.B_FIXED_SG_10.fcs","T2.D9.7.B","FIXED","SG",10,"T2","D9","7","B",9.83333333333333,55469,18441718.1993484,14961.1011370437,57.8683589031711,10671919.6755103
"616","C11 T3.D13.4.B_FIXED_SG_10.fcs","T3.D13.4.B","FIXED","SG",10,"T3","D13","4","B",13.4583333333333,187153,62268099.5475113,0,54.4340726571308,33895062.5499068
"617","C11 T3.D17.8.B_FIXED_SG_10.fcs","T3.D17.8.B","FIXED","SG",10,"T3","D17","8","B",17.9583333333333,232842,77464235.8107658,0,36.018845397308,27901723.3348859
"618","C11 T3.D2.5.B_FIXED_SG_10.fcs","T3.D2.5.B","FIXED","SG",10,"T3","D2","5","B",2.58333333333333,8258,2752207.96533911,15664.0559906682,71.0220392346815,1954674.22096317
"619","C11 T3.D4.3.A_FIXED_SG_10.fcs","T3.D4.3.A","FIXED","SG",10,"T3","D4","3","A",4.33333333333333,20755,6876387.37037405,15240.3670940596,78.3907492170561,5390451.57870324
