"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue"
"0_100_0.fcs2","Ppolymyxa",3,2,"Absent","Absent",0.0141568569426164,0,0
"33_33_33.fcs3","Ppolymyxa",3,2,"Present","Present",0.265835353257132,0.265835353257132,0.33
"60_1_39.fcs2","Ppolymyxa",3,2,"Present","Present",0.763215984046529,0.763215984046529,0.6
"73_8_19.fcs3","Ppolymyxa",3,2,"Present","Present",0.722622575972691,0.722622575972691,0.73
"80_1_19.fcs2","Ppolymyxa",3,2,"Present","Present",0.827335456838798,0.827335456838798,0.8
"80_8_12.fcs2","Ppolymyxa",3,2,"Present","Present",0.778700751227873,0.778700751227873,0.8
"100_0_0.fcs2","Ppolymyxa",3,2,"Present","Present",0.997818605432172,0.997818605432172,1
"0_50_50.fcs2","Ppolymyxa",3,3,"Absent","Absent",9.47169068589769e-06,0,0
"50_0_50.fcs2","Ppolymyxa",3,3,"Present","Present",0.999989550916592,0.999989550916592,0.5
"60_10_30.fcs2","Ppolymyxa",3,3,"Present","Present",0.642888919544593,0.642888919544593,0.6
"75_1_24.fcs2","Ppolymyxa",3,3,"Present","Present",0.766792995420779,0.766792995420779,0.75
"80_10_10.fcs2","Ppolymyxa",3,3,"Present","Present",0.769609276117183,0.769609276117183,0.8
"90_1_9.fcs2","Ppolymyxa",3,3,"Present","Present",0.776234447222881,0.776234447222881,0.9
"0,003_99,99_0,007.fcs2","Ppolymyxa",3,4,"Absent","Absent",0.0295833296769081,0,3e-05
"50_1_49.fcs2","Ppolymyxa",3,4,"Present","Present",0.68202324375248,0.68202324375248,0.5
"70_1_29.fcs2","Ppolymyxa",3,4,"Present","Present",0.746598405621174,0.746598405621174,0.7
"75_6_19.fcs2","Ppolymyxa",3,4,"Present","Present",0.700906190756972,0.700906190756972,0.75
"80_19_1.fcs2","Ppolymyxa",3,4,"Present","Present",0.616944026687766,0.616944026687766,0.8
"90_10_0.fcs2","Ppolymyxa",3,4,"Present","Present",0.726090391180158,0.726090391180158,0.9
"0,007_0,003_99,99.fcs4","Ppolymyxa",3,5,"Absent","Absent",0.00231511315369401,0,7e-05
"50_10_40.fcs2","Ppolymyxa",3,5,"Present","Present",0.54355414805294,0.54355414805294,0.5
"53,3_4_42,7.fcs3","Ppolymyxa",3,5,"Present","Present",0.612485623739162,0.612485623739162,0.533
"77_4_19.fcs2","Ppolymyxa",3,5,"Present","Present",0.757238327935181,0.757238327935181,0.77
"80_2_18.fcs2","Ppolymyxa",3,5,"Present","Present",0.782440731431611,0.782440731431611,0.8
"80_6_14.fcs3","Ppolymyxa",3,5,"Present","Present",0.737618339784896,0.737618339784896,0.8
"0_0_100.fcs3","Srhizophila",1,1,"Absent","Absent",2.99959580058165e-06,0,0
"99,99_0,007_0,003.fcs3","Srhizophila",1,1,"Absent","Absent",0.000897822287318298,0,7e-05
"80_1_19.fcs3","Srhizophila",1,1,"Present","Absent",0.00704636207367893,0.00704636207367893,0.01
"77_4_19.fcs3","Srhizophila",1,1,"Present","Present",0.0252496282239058,0.0252496282239058,0.04
"80_8_12.fcs3","Srhizophila",1,1,"Present","Present",0.0527808425608213,0.0527808425608213,0.08
"90_10_0.fcs3","Srhizophila",1,1,"Present","Present",0.0625207816045857,0.0625207816045857,0.1
"0,003_99,99_0,007.fcs3","Srhizophila",1,1,"Present","Present",0.999888155867812,0.999888155867812,0.9999
"100_0_0.fcs3","Srhizophila",1,2,"Absent","Absent",0.00715188826864157,0,0
"50_1_49.fcs3","Srhizophila",1,2,"Absent","Absent",0.000415398735114602,0,0.01
